  tic; main; toc           % runs, computes, saves DataFile.mat, prints tables
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 18 workers.
-1.000000e-01: Error is 1.448365e+07 with 2 iterations
-2.000000e-01: Error is 1.459714e+07 with 2 iterations
7.000000e-01: Error is 1.346180e+07 with 2 iterations
1.000000e-01: Error is 9.880565e+04 with 10 iterations
2.000000e-01: Error is 1.408196e+07 with 2 iterations
8.000000e-01: Error is 1.330249e+07 with 2 iterations
-4.000000e-01: Error is 1.481829e+07 with 2 iterations
-1.000000e-01: Error is 3.653494e+06 with 4 iterations
-4.000000e-01: Error is 3.734443e+06 with 4 iterations
6.000000e-01: Error is 3.430060e+06 with 4 iterations
6.000000e-01: Error is 1.748560e+06 with 5 iterations
-1.000000e-01: Error is 1.851763e+06 with 5 iterations
-2.000000e-01: Error is 3.680951e+06 with 4 iterations
7.000000e-01: Error is 3.398057e+06 with 4 iterations
2.000000e-01: Error is 3.555852e+06 with 4 iterations
4.000000e-01: Error is 3.491349e+06 with 4 iterations
4.000000e-01: Error is 1.779410e+06 with 5 iterations
8.000000e-01: Error is 3.351274e+06 with 4 iterations
8.000000e-01: Error is 1.705652e+06 with 5 iterations
-4.000000e-01: Error is 1.895062e+06 with 5 iterations
-2.000000e-01: Error is 1.868103e+06 with 5 iterations
7.000000e-01: Error is 1.730258e+06 with 5 iterations
2.000000e-01: Error is 1.805954e+06 with 5 iterations
6.000000e-01: Error is 2.639245e+05 with 8 iterations
-1.000000e-01: Error is 2.784921e+05 with 8 iterations
7.000000e-01: Error is 2.605933e+05 with 8 iterations
-9.000000e-01: Error is 8.666841e+05 with 1 iterations
-8.000000e-01: Error is 8.618306e+05 with 1 iterations
1.000000e-01: Error is 4.661167e+04 with 16 iterations
-6.000000e-01: Error is 8.519896e+05 with 1 iterations
2.000000e-01: Error is 2.474226e+05 with 8 iterations
-5.001000e-01: Error is 9.577462e+05 with 1 iterations
4.000000e-01: Error is 2.695186e+05 with 8 iterations
9.000000e-01: Error is 5.088344e+04 with 16 iterations
3.000000e-01: Error is 4.725311e+04 with 16 iterations
8.000000e-01: Error is 2.545313e+05 with 8 iterations
-4.000000e-01: Error is 2.524961e+05 with 8 iterations
6.000000e-01: Error is 9.446028e+04 with 10 iterations
-1.000000e-01: Error is 1.174630e+05 with 10 iterations
7.000000e-01: Error is 1.058576e+05 with 10 iterations
2.000000e-01: Error is 1.138660e+05 with 10 iterations
4.000000e-01: Error is 1.099498e+05 with 10 iterations
-4.000000e-01: Error is 1.092550e+05 with 10 iterations
-1.000000e-01: Error is 4.606681e+04 with 16 iterations
-2.000000e-01: Error is 2.926061e+05 with 8 iterations
1.000000e-01: Error is 4.172133e+04 with 20 iterations
9.000000e-01: Error is 4.582173e+04 with 20 iterations
3.000000e-01: Error is 4.231972e+04 with 20 iterations
8.000000e-01: Error is 1.033820e+05 with 10 iterations
-2.000000e-01: Error is 1.153624e+05 with 10 iterations
2.000000e-01: Error is 4.686005e+04 with 16 iterations
4.000000e-01: Error is 4.765004e+04 with 16 iterations
6.000000e-01: Error is 4.861302e+04 with 16 iterations
-1.000000e-01: Error is 4.125625e+04 with 20 iterations
-2.000000e-01: Error is 4.583933e+04 with 16 iterations
7.000000e-01: Error is 4.923059e+04 with 16 iterations
1.000000e-01: Error is 3.759225e+04 with 25 iterations
9.000000e-01: Error is 4.141488e+04 with 25 iterations
3.000000e-01: Error is 3.815885e+04 with 25 iterations
-4.000000e-01: Error is 4.550750e+04 with 16 iterations
6.000000e-01: Error is 4.359813e+04 with 20 iterations
2.000000e-01: Error is 4.198519e+04 with 20 iterations
4.000000e-01: Error is 4.268498e+04 with 20 iterations
8.000000e-01: Error is 4.996338e+04 with 16 iterations
-4.000000e-01: Error is 4.073552e+04 with 20 iterations
6.000000e-01: Error is 3.936350e+04 with 25 iterations
-1.000000e-01: Error is 3.716577e+04 with 25 iterations
-2.000000e-01: Error is 4.104873e+04 with 20 iterations
7.000000e-01: Error is 4.419713e+04 with 20 iterations
-8.000000e-01: Error is 1.513199e+07 with 2 iterations
-6.000000e-01: Error is 1.493833e+07 with 2 iterations
-5.001000e-01: Error is 1.494907e+07 with 2 iterations
9.000000e-01: Error is 3.712425e+04 with 32 iterations
-2.000000e-01: Error is 3.698010e+04 with 25 iterations
7.000000e-01: Error is 3.993633e+04 with 25 iterations
-9.000000e-01: Error is 1.522625e+07 with 2 iterations
1.000000e-01: Error is 3.369600e+04 with 32 iterations
2.000000e-01: Error is 3.785074e+04 with 25 iterations
4.000000e-01: Error is 3.850945e+04 with 25 iterations
3.000000e-01: Error is 3.421575e+04 with 32 iterations
8.000000e-01: Error is 4.486133e+04 with 20 iterations
